name,version
5nine Manager,9.4
InstallShield Express,2018 24.0.464
Foxit Reader,7.3.4.0311
SyncBack,8.5.122.0
Foxit Reader,8.2.1.6871
InstallShield Professional,2018 24.0.464
InstallShield Premier,2018 24.0.464
Wunderlist RT,windows store app
Foxit Reader,7.3.0.0118
WinRAR,5.7
Free Download Manager,5.1.37 build 7302
Free Download Manager,5.1.8 build 7312
Franz,5.0.0 beta .18
Free Download Manager,5.1.11 build 3817
Free Download Manager,5.1.37
Free Download Manager,5.1.38
WinMerge,2.14.0
Free Download Manager,3.9.7 build 1627
Free Download Manager,5.1.22
Free Download Manager,5.1.24
Freeplane,1.7.6
3DMark,2.3.3663
G Data Antivirus,2018
3DMark,2.3.3693
G Data Internet Security,2018
Thunderbird,60.5.0
Mozy,2.36.5
FreeFileSync,10.9
G Data Internet Security,2019
Mylio,3.5.5815
Debut Video Capture,5.12 beta
VideoPad Video Editor,7.01
ExtractNow,4.8.3
VideoPad Video Editor,7.03
PC Control Utility Pro,1.32.0
Virtual Remote Tool,1.36
Gajim,1.1.0
Virtual Remote Tool,2.2
Virtual Remote Tool,2.23
Virtual Remote Tool,1.33
Q-Dir,7.43.0
Q-Dir,7.46.0
Neo4j Community,3.5.12
Nero BackItUp,22.0.00400
Nero Burning ROM,2020
Abylon BASIC,18.10.3
ABBYY FineReader Professional,14
abylon BASIC,17.60.1
abylon SHAREDDRIVE,18.10.3
